label,case,p,margin,source,content,content_norm
fake_scarcity,FN_near,0.738459317657242,-0.011540682342757957,glowetta,PRODUCTO VIRAL | STOCK BAJO,PRODUCTO VIRAL | __SCARCITY__
fake_scarcity,FN_near,0.7338910098814979,-0.016108990118502087,[https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv](https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv),Vendiéndose rápido,Vendiéndose rápido
fake_scarcity,FN_near,0.7075423593462759,-0.04245764065372415,pazprofunda,¡Date prisa! Los paquetes promocionales se agotaran pronto,¡Date prisa! Los paquetes promocionales se agotaran pronto
fake_scarcity,FN_near,0.6611994317431472,-0.08880056825685279,gadnic,¡NO TE LAS PIERDAS! QUEDAN: 00 : 36 : 29 Horas Mins Seg,¡NO TE LAS PIERDAS! QUEDAN: __TIMER__ Horas Mins Seg
fake_scarcity,FN_near,0.6470935431891707,-0.10290645681082933,[https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv](https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv),UN ARTÍCULO EN TU CARRITO SE ESTÁ AGOTANDO RÁPIDAMENTE,UN ARTÍCULO EN TU CARRITO SE ESTÁ AGOTANDO RÁPIDAMENTE
fake_scarcity,FN_near,0.6436494095738613,-0.1063505904261387,temu,ÚLTIMAS 1 A PRECIO PROMOCIONAL,__SCARCITY__ A PRECIO PROMOCIONAL
fake_scarcity,FN_near,0.6376221680193574,-0.11237783198064255,temu,ÚLTIMAS 1 A PRECIO PROMOC...,__SCARCITY__ A PRECIO PROMOC...
fake_scarcity,FN_near,0.5522233774564433,-0.19777662254355666,[https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv](https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv),UNA VEZ QUE SE AGOTE SE ACABÓ,UNA VEZ QUE SE AGOTE SE ACABÓ
fake_scarcity,FN_near,0.5477630990565818,-0.20223690094341817,https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv,Moviéndose rápido: ¡35 PERSONAS añadieron esto al carrito hoy!,Moviéndose rápido: ¡__PEOPLE__ añadieron esto al carrito hoy!
fake_scarcity,FN_near,0.5291549649400248,-0.22084503505997521,https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv,¡Date prisa! Otras 22 personas tienen este producto en su carrito,¡Date prisa! Otras __PEOPLE__ tienen este producto en su carrito
fake_scarcity,FN_near,0.5291549649400248,-0.22084503505997521,https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv,¡Date prisa! Otras 6 personas tienen este producto en su carrito,¡Date prisa! Otras __PEOPLE__ tienen este producto en su carrito
fake_scarcity,FN_near,0.5212989901152434,-0.2287010098847566,https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv,¡Consíguelo rápido! 14 añadidos a la bolsa hoy,¡Consíguelo rápido! __SOCIAL_COUNT__ a la bolsa hoy
fake_scarcity,FN_near,0.5202090994010284,-0.22979090059897156,[https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv](https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv),Los artículos en tu carrito tienen una demanda MUY alta.,Los artículos en tu carrito tienen una demanda MUY alta.
fake_scarcity,FN_near,0.5131525933841167,-0.23684740661588333,[https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv](https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv),Los artículos en tu carrito tienen mucha demanda.,Los artículos en tu carrito tienen mucha demanda.
fake_scarcity,FN_near,0.5108707690124542,-0.2391292309875458,https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv,Más de 752 usuarios están añadiendo fajas a su carrito. ¿Aún queda tu talla?,Más de __NUM__ usuarios están añadiendo fajas a su carrito. ¿Aún queda tu talla?
fake_scarcity,FN_near,0.48384988741964136,-0.26615011258035864,[https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv](https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv),"Lo sentimos, esto está agotado. Te lo acabas de perder.","Lo sentimos, esto está agotado. Te lo acabas de perder."
fake_scarcity,FN_near,0.4342328154936747,-0.3157671845063253,etsy,Solo hay 1 y está en 1 carrito,Solo hay __NUM__ y está en __NUM__ carrito
fake_scarcity,FN_near,0.4293524052724988,-0.3206475947275012,tienda_clic,ADVERTENCIA: ¡ÚLTIMOS ARTÍCULOS EN INVENTARIO!,ADVERTENCIA: ¡ÚLTIMOS ARTÍCULOS EN INVENTARIO!
fake_scarcity,FN_near,0.41399061582319907,-0.33600938417680093,[https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv](https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv),"Un artículo que pediste tiene mucha demanda. No te preocupes, hemos priorizado tu pedido.","Un artículo que pediste tiene mucha demanda. No te preocupes, hemos priorizado tu pedido."
fake_scarcity,FN_near,0.40485822097977,-0.34514177902023,[https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv](https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv),Los artículos en tu carrito tienen mucha demanda. Pero hemos reservado tu pedido.,Los artículos en tu carrito tienen mucha demanda. Pero hemos reservado tu pedido.
fake_scarcity,FN_near,0.40244895606396275,-0.34755104393603725,ebay,Último,Último
fake_scarcity,FN_near,0.3927836084791597,-0.3572163915208403,wish,¡Solo 9 restantes!,¡Solo __NUM__ restantes!
fake_scarcity,FN_near,0.3887166465401103,-0.3612833534598897,[https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv](https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv),"Un artículo que pediste tiene mucha demanda. No te preocupes, hemos reservado tu pedido.","Un artículo que pediste tiene mucha demanda. No te preocupes, hemos reservado tu pedido."
fake_scarcity,FN_near,0.3726198406486959,-0.3773801593513041,[https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv](https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv),¡SE VENDE RÁPIDO! OBTÉN UN 10% DE DESCUENTO EN ESTE ARTÍCULO. ACTÍVALO AHORA.,¡SE VENDE RÁPIDO! OBTÉN UN __NUM__% DE DESCUENTO EN ESTE ARTÍCULO. ACTÍVALO AHORA.
fake_scarcity,FN_near,0.34900829828406305,-0.40099170171593695,https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv,¡MUY POPULAR! 21 comprados en los últimos 7 días.,¡MUY POPULAR! __SOCIAL_COUNT__ en los últimos __TIMER__.
fake_scarcity,FN_near,0.3466789031877533,-0.4033210968122467,https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv,Otros lo quieren. 10 personas tienen esto en su carrito ahora mismo.,Otros lo quieren. __PEOPLE__ tienen esto en su carrito ahora mismo.
fake_scarcity,FN_near,0.3053756444060922,-0.4446243555939078,https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv,PRODUCTO POPULAR Más de 250 personas están viendo este artículo.,PRODUCTO POPULAR Más de __PEOPLE__ están viendo este artículo.
fake_scarcity,FN_near,0.2619881436869523,-0.4880118563130477,https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv,¡Comprado por 39 personas en las últimas horas! ¡SÚPER VENTAS!,¡Comprado por __PEOPLE__ en las últimas horas! ¡SÚPER VENTAS!
fake_scarcity,FN_near,0.25462985102300467,-0.49537014897699533,[https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv](https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv),¡Fuerte demanda! ¡Completa tu pedido antes de que sea demasiado tarde!,¡Fuerte demanda! ¡Completa tu pedido antes de que sea demasiado tarde!
fake_scarcity,FN_near,0.2538594624162992,-0.4961405375837008,https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv](https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv,"Debido a la ALTA demanda, el carrito expira en: 08:41","Debido a la ALTA demanda, el carrito expira en: __TIMER__"
fake_scarcity,FN_near,0.20025303199622785,-0.5497469680037721,[https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv](https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv),Este artículo tiene mucha demanda.,Este artículo tiene mucha demanda.
fake_scarcity,FN_near,0.1740023431672918,-0.5759976568327082,[https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv](https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv),Alta demanda,Alta demanda
fake_scarcity,FN_near,0.1740023431672918,-0.5759976568327082,[https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv](https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv),ALTA DEMANDA,ALTA DEMANDA
fake_scarcity,FN_near,0.17110967517374207,-0.5788903248262579,[https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv](https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv),Demanda extremadamente alta: espera de 2 a 4 semanas para que llegue (por las dudas). Límite de 4 por persona!,Demanda extremadamente alta: espera de __NUM__ a __NUM__ semanas para que llegue (por las dudas). Límite de __NUM__ por persona!
fake_scarcity,FN_near,0.1426986262665626,-0.6073013737334374,[https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv](https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv),¡EN ALTA DEMANDA!,¡EN ALTA DEMANDA!
fake_scarcity,FN_near,0.13911334467181918,-0.6108866553281809,[https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv](https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv),En demanda,En demanda
fake_scarcity,FN_near,0.13423056728188554,-0.6157694327181145,https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv,¡Tendencia ahora! Añadido a la cesta 490 veces hoy,¡Tendencia ahora! Añadido a la cesta __NUM__ veces hoy
fake_scarcity,FP_near,0.7890086231958443,0.039008623195844305,temu,Solo quedan 12 horas para obtener 21% de descuento,Solo quedan __STOCK__ horas para obtener __NUM__% de descuento
fake_urgency,FN_near,0.34949384168200853,-0.0005061583179914453,aruneshmathur_dark_patterns,Hurry Up ! Time is running out,Hurry Up ! Time is running out
fake_urgency,FN_near,0.34610914232362266,-0.003890857676377313,aruneshmathur_dark_patterns,00DAYS02HRS14MINS1211SEC,00DAYS02HRS14MINS1211SEC
fake_urgency,FN_near,0.34396559455736664,-0.006034405442633339,aruneshmathur_dark_patterns,0 DAYS22 HOURS13 MINUTES21 SECONDS,__NUM__ DAYS22 HOURS13 MINUTES21 SECONDS
fake_urgency,FN_near,0.33790802769463,-0.012091972305369958,aruneshmathur_dark_patterns,You left 2 items in your bag Released in: 29 minutes :07 seconds,You left __NUM__ items in your bag Released in: __NUM__ minutes :__NUM__ seconds
fake_urgency,FN_near,0.33074667029063143,-0.01925332970936855,aruneshmathur_dark_patterns,00Days17Hours12Mins13Secs,00Days17Hours12Mins13Secs
fake_urgency,FN_near,0.3306832843416909,-0.019316715658309058,aruneshmathur_dark_patterns,Offer ends 0Hours:04Minutes:46Seconds,Offer ends 0Hours:04Minutes:46Seconds
fake_urgency,FN_near,0.32971539432395514,-0.020284605676044842,[https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv](https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv),"¡Date prisa, este estilo se vende rápido!","¡Date prisa, este estilo se vende rápido!"
fake_urgency,FN_near,0.32715631486087976,-0.022843685139120218,aruneshmathur_dark_patterns,HURRY! EXCLUSIVE DEAL FOR YOU! 1 4 : 4 5,HURRY! EXCLUSIVE DEAL FOR YOU! __NUM__ __NUM__ : __NUM__ __NUM__
fake_urgency,FN_near,0.3075261641554082,-0.0424738358445918,[https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv](https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv),¡SE VENDE RÁPIDO! OBTÉN UN 10% DE DESCUENTO EN ESTE ARTÍCULO. ACTÍVALO AHORA.,¡SE VENDE RÁPIDO! OBTÉN UN __NUM__% DE DESCUENTO EN ESTE ARTÍCULO. ACTÍVALO AHORA.
fake_urgency,FN_near,0.3005706265292072,-0.04942937347079279,aruneshmathur_dark_patterns,Your order has been reserved for,Your order has been reserved for
fake_urgency,FN_near,0.28493291471168686,-0.06506708528831312,Desconocido,¡Apurate y consigue tus favoritos mientras puedas!,¡Apurate y consigue tus favoritos mientras puedas!
fake_urgency,FN_near,0.2833187823337267,-0.06668121766627327,Desconocido,El precio sube hasta 469 USD en,El precio sube hasta __NUM__ USD en
fake_urgency,FN_near,0.279439209172873,-0.07056079082712696,aruneshmathur_dark_patterns,3DAYS124606,3DAYS124606
fake_urgency,FN_near,0.276954345366231,-0.073045654633769,Desconocido,PREORDENA AHORA,PREORDENA AHORA
fake_urgency,FN_near,0.27482980499982634,-0.07517019500017363,aruneshmathur_dark_patterns,00DAYS00HOURS14MINUTES21SECONDS,00DAYS00HOURS14MINUTES21SECONDS
fake_urgency,FN_near,0.27482980499982634,-0.07517019500017363,aruneshmathur_dark_patterns,00DAYS07HOURS09MINUTES39SECONDS,00DAYS07HOURS09MINUTES39SECONDS
fake_urgency,FN_near,0.21144109584428622,-0.13855890415571376,spotify,Última oportunidad,Última oportunidad
fake_urgency,FN_near,0.18976451377435294,-0.16023548622564704,Desconocido,Fijá el precio más bajo,Fijá el precio más bajo
fake_urgency,FN_near,0.15367751181056957,-0.1963224881894304,Desconocido,Disponible únicamente durante una semana,Disponible únicamente durante una semana
fake_urgency,FP_near,0.9094346127583359,0.559434612758336,Desconocido,Oferta extendida solo 2 días,Oferta extendida solo __TIMER__
fake_urgency,FP_near,0.7550509332032589,0.4050509332032589,wish,Hasta 27% de descuento,Hasta __NUM__% de descuento
fake_urgency,FP_near,0.719441687740566,0.36944168774056607,rappi,¡Tenés 30 días de entregas gratis!,¡Tenés __TIMER__de entregas gratis!
fake_urgency,FP_near,0.702624328613155,0.35262432861315507,Desconocido,Tu pedido expirará en 11:38,Tu pedido expirará en __TIMER__
fake_urgency,FP_near,0.6958017950154828,0.3458017950154828,Desconocido,Tu pedido vence en 11:38,Tu pedido vence en __TIMER__
fake_urgency,FP_near,0.6788499135007336,0.32884991350073367,IA,La inscripción al curso cierra en 3 días,La inscripción al curso cierra en __TIMER__
fake_urgency,FP_near,0.6307752734562696,0.2807752734562696,aruneshmathur_dark_patterns,Spring Sale Extended,Spring Sale Extended
fake_urgency,FP_near,0.6305777697020913,0.28057776970209136,https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv,Visto 1040 veces en los últimos 7 días,Visto __NUM__ veces en los últimos __TIMER__
fake_urgency,FP_near,0.6206798658076388,0.2706798658076388,https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv,¡Otros 6 ya han comprado esta oferta hoy!,¡Otros __NUM__ ya han comprado esta oferta hoy!
fake_urgency,FP_near,0.596013201464579,0.24601320146457906,https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv,308 visitas por día,__SOCIAL_COUNT__ por día
fake_urgency,FP_near,0.5956598830794233,0.24565988307942332,wish,"4 colores, 5 piezas","__NUM__ colores, __NUM__ piezas"
fake_urgency,FP_near,0.5876356102969027,0.23763561029690272,https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv,Visto 744 veces hoy,Visto __NUM__ veces hoy
fake_urgency,FP_near,0.5857771835462213,0.23577718354622135,wish,8 tamaños,__NUM__ tamaños
fake_urgency,FP_near,0.5690581910405447,0.2190581910405447,wish,4 colores,__NUM__ colores
fake_urgency,FP_near,0.5551801207206467,0.20518012072064673,temu,Llega a AR en tan solo 3 días hábiles después del envío,Llega a AR en tan solo __TIMER__hábiles después del envío
fake_urgency,FP_near,0.5539773732456873,0.20397737324568732,temu,SOLO QUEDAN(N) 3,SOLO QUEDAN(N) __NUM__
fake_urgency,FP_near,0.5498518353310392,0.19985183533103923,aruneshmathur_dark_patterns,SAVE $200 OFF PUFFY,SAVE $__NUM__ OFF PUFFY
fake_urgency,FP_near,0.5485795600268726,0.1985795600268726,IA,Clase de yoga termina en 10 minutos,Clase de yoga termina en __NUM__ minutos
fake_urgency,FP_near,0.5418075098775912,0.1918075098775912,https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv,2049 vendidos en los últimos 7 días,__SOCIAL_COUNT__ en los últimos __TIMER__
fake_urgency,FP_near,0.5247212490989259,0.17472124909892595,https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv,8 clientes han comprado hoy,__NUM__ clientes han comprado hoy
fake_urgency,FP_near,0.5207406321980996,0.17074063219809965,boots,Muy pronto,Muy pronto
fake_urgency,FP_near,0.5200807613180124,0.17008076131801242,IA,Su sesión expira en 5 minutos,Su sesión expira en __NUM__ minutos
fake_urgency,FP_near,0.4928837349511423,0.14288373495114232,IA,gana descuentos exclusivos,gana descuentos exclusivos
fake_urgency,FP_near,0.4881490491287942,0.13814904912879422,https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv,273 unidades vendidas en los últimos 30 días,__NUM__ unidades vendidas en los últimos __TIMER__
fake_urgency,FP_near,0.48246520882426247,0.1324652088242625,Delish,Mostrame 14 recetas simples,Mostrame __NUM__ recetas simples
fake_urgency,FP_near,0.47047532157145533,0.12047532157145535,https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv,Comprado 6 veces esta semana.,Comprado __NUM__ veces esta semana.
fake_urgency,FP_near,0.4658629400425992,0.11586294004259923,https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv,30 visitantes en tiempo real ahora mismo,__NUM__ visitantes en tiempo real ahora mismo
fake_urgency,FP_near,0.46161807941978167,0.11161807941978169,wish,¡Solo 9 restantes!,¡Solo __NUM__ restantes!
fake_urgency,FP_near,0.45846740677429926,0.10846740677429928,https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv,¡Tendencia ahora! Añadido a la cesta 490 veces hoy,¡Tendencia ahora! Añadido a la cesta __NUM__ veces hoy
fake_urgency,FP_near,0.45128861493884603,0.10128861493884606,https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv,¡MUY POPULAR! 21 comprados en los últimos 7 días.,¡MUY POPULAR! __SOCIAL_COUNT__ en los últimos __TIMER__.
fake_urgency,FP_near,0.44357523379927094,0.09357523379927096,ClickUp,"No, quiero perder 1 dia por semana","No, quiero perder __TIMER__por semana"
fake_urgency,FP_near,0.4359957766073733,0.08599577660737334,https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv,227 ya comprados,__NUM__ ya comprados
fake_urgency,FP_near,0.42598098657697003,0.07598098657697006,https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv,210+ comprados,__NUM__+ comprados
fake_urgency,FP_near,0.42300384475062197,0.073003844750622,https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv,Compraré sin descuento,Compraré sin descuento
fake_urgency,FP_near,0.4212256854235778,0.07122568542357782,eBook,Descargar ahora,Descargar ahora
fake_urgency,FP_near,0.41996705172228055,0.06996705172228057,Desconocido,"Si, amo las ofertas","Si, amo las ofertas"
fake_urgency,FP_near,0.4127783583493504,0.06277835834935042,Desconocido,Tiempo Restante para tu Año Nuevo,Tiempo Restante para tu Año Nuevo
fake_urgency,FP_near,0.40778920174165123,0.05778920174165125,IA,El examen comienza en 30 segundos,El examen comienza en __NUM__ segundos
fake_urgency,FP_near,0.40771878242159426,0.057718782421594284,fravega,Válido del 26/12 al 6/01,Válido del __DATE__ al __DATE__
fake_urgency,FP_near,0.40056564088550534,0.05056564088550536,eBook,Reject the ebook,Reject the ebook
fake_urgency,FP_near,0.3979009852563644,0.04790098525636444,ebay,Último,Último
fake_urgency,FP_near,0.38355075876001293,0.033550758760012955,Desconocido,Cuenta regresiva de Año Nuevo,Cuenta regresiva de Año Nuevo
fake_urgency,FP_near,0.3811147539768639,0.031114753976863918,bozoom,¡Quedan solo 2 en stock!,¡Quedan solo __NUM__ en stock!
fake_urgency,FP_near,0.37549742652595997,0.025497426525959987,[https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv](https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv),Demanda extremadamente alta: espera de 2 a 4 semanas para que llegue (por las dudas). Límite de 4 por persona!,Demanda extremadamente alta: espera de __NUM__ a __NUM__ semanas para que llegue (por las dudas). Límite de __NUM__ por persona!
fake_urgency,FP_near,0.3660445004250396,0.01604450042503963,https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv,2 visitas por hora,__SOCIAL_COUNT__ por hora
fake_urgency,FP_near,0.36262396469405356,0.01262396469405358,IA,Tu sesión caducará en 1 minuto,Tu sesión caducará en __NUM__ minuto
fake_urgency,FP_near,0.3608703133795852,0.010870313379585217,https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv,436 usuarios están activos ahora mismo,__NUM__ usuarios están activos ahora mismo
fake_urgency,FP_near,0.3606731861542224,0.010673186154222414,IA,El partido empieza en 15 minutos,El partido empieza en __NUM__ minutos
fake_urgency,FP_near,0.3604195367329192,0.010419536732919232,https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv,EL MÁS POPULAR,EL MÁS POPULAR
fake_urgency,FP_near,0.3602779170543747,0.010277917054374697,[https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv](https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv),ALTA DEMANDA,ALTA DEMANDA
fake_urgency,FP_near,0.3602779170543747,0.010277917054374697,[https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv](https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv),Alta demanda,Alta demanda
fake_urgency,FP_near,0.3582582114397929,0.00825821143979294,https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv,¡Consíguelo rápido! 14 añadidos a la bolsa hoy,¡Consíguelo rápido! __SOCIAL_COUNT__ a la bolsa hoy
fake_urgency,FP_near,0.3561399301509509,0.006139930150950934,https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv,61 personas ya han comprado este producto hoy con un 50% de descuento,__PEOPLE__ ya han comprado este producto hoy con un __NUM__% de descuento
fake_urgency,FP_near,0.352828860801399,0.002828860801399047,https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv,¡Estilo de tendencia! Vendido 4 veces hoy,¡Estilo de tendencia! Vendido __NUM__ veces hoy
shaming,FN_near,0.2829313290904152,-0.0670686709095848,Desconocido,"Si, amo las ofertas","Si, amo las ofertas"
shaming,FN_near,0.23434344696957957,-0.11565655303042041,Baeldung,Continuar sin apoyarnos,Continuar sin apoyarnos
shaming,FN_near,0.22384537430400125,-0.12615462569599872,https://github.com/aruneshmathur/dark-patterns/blob/master/data/final-dark-patterns/dark-patterns.csv,Compraré sin descuento,Compraré sin descuento
shaming,FN_near,0.17103678227977964,-0.17896321772022034,eBook,Reject the ebook,Reject the ebook
shaming,FN_near,0.1360618240394484,-0.2139381759605516,Desconocido,Soy una mala persona,Soy una mala persona
shaming,FP_near,0.9929833040610748,0.6429833040610748,Desconocido,No gracias,No gracias
