feature,mean_A,mean_B,diff,kind,label,pair
ahora,0.0654884847406702,0.010113911056436407,0.0553745736842338,word,fake_urgency,FN_vs_TP
precio,0.0547836639111688,0.0033373874350153526,0.05144627647615345,word,fake_urgency,FN_vs_TP
el precio,0.0547836639111688,0.0033373874350153526,0.05144627647615345,word,fake_urgency,FN_vs_TP
apurate,0.05263157894736842,0.0033372847930036166,0.0492942941543648,word,fake_urgency,FN_vs_TP
seconds,0.05494065918121404,0.018413373246309754,0.036527285934904286,word,fake_urgency,FN_vs_TP
el,0.04550099869722859,0.01189652569012189,0.0336044730071067,word,fake_urgency,FN_vs_TP
vende,0.03158460736598175,0.0,0.03158460736598175,word,fake_urgency,FN_vs_TP
se vende,0.03158460736598175,0.0,0.03158460736598175,word,fake_urgency,FN_vs_TP
vende rápido,0.03158460736598175,0.0,0.03158460736598175,word,fake_urgency,FN_vs_TP
se vende rápido,0.03158460736598175,0.0,0.03158460736598175,word,fake_urgency,FN_vs_TP
este,0.03158460736598175,0.0,0.03158460736598175,word,fake_urgency,FN_vs_TP
rápido,0.03158460736598175,0.0,0.03158460736598175,word,fake_urgency,FN_vs_TP
se,0.029825082145766776,0.0022487451381793156,0.02757633700758746,word,fake_urgency,FN_vs_TP
you,0.027531155041729254,0.0031737498892057507,0.024357405152523503,word,fake_urgency,FN_vs_TP
__num__ __num__ __num__,0.026674614602621834,0.0065220338445795235,0.02015258075804231,word,fake_urgency,FN_vs_TP
hasta __num__,0.023780794992935388,0.0036690800634507185,0.02011171492948467,word,fake_urgency,FN_vs_TP
hasta,0.02269258738321615,0.005905228229071191,0.01678735915414496,word,fake_urgency,FN_vs_TP
running,0.016904546629884984,0.0017093093384850824,0.015195237291399901,word,fake_urgency,FN_vs_TP
is running out,0.016904546629884984,0.0017093093384850824,0.015195237291399901,word,fake_urgency,FN_vs_TP
time is running,0.016904546629884984,0.0017093093384850824,0.015195237291399901,word,fake_urgency,FN_vs_TP
running out,0.016904546629884984,0.0017093093384850824,0.015195237291399901,word,fake_urgency,FN_vs_TP
time is,0.016904546629884984,0.0017093093384850824,0.015195237291399901,word,fake_urgency,FN_vs_TP
is running,0.016904546629884984,0.0017093093384850824,0.015195237291399901,word,fake_urgency,FN_vs_TP
in __num__ minutes,0.016429336191728806,0.0013005568871068875,0.015128779304621918,word,fake_urgency,FN_vs_TP
in your,0.016429336191728806,0.0018728734093640645,0.014556462782364742,word,fake_urgency,FN_vs_TP
prisa,0.016734441430640436,0.002381409442844908,0.014353031987795528,word,fake_urgency,FN_vs_TP
date,0.016734441430640436,0.002381409442844908,0.014353031987795528,word,fake_urgency,FN_vs_TP
date prisa,0.016734441430640436,0.002381409442844908,0.014353031987795528,word,fake_urgency,FN_vs_TP
__num__ __num__,0.03335805752813507,0.01925337014591247,0.014104687382222598,word,fake_urgency,FN_vs_TP
offer ends,0.03465184060834642,0.02210500844264733,0.012546832165699087,word,fake_urgency,FN_vs_TP
un,0.014850165935341319,0.00358203605954059,0.011268129875800729,word,fake_urgency,FN_vs_TP
items,0.014804162042474351,0.005947305594498515,0.008856856447975837,word,fake_urgency,FN_vs_TP
out,0.014635537706798901,0.007375804870827004,0.007259732835971897,word,fake_urgency,FN_vs_TP
your order,0.02379084222278875,0.017850123118688572,0.005940719104100177,word,fake_urgency,FN_vs_TP
deal,0.012228329905344639,0.006830620715635539,0.0053977091897091005,word,fake_urgency,FN_vs_TP
offer,0.031456986290297355,0.026162666320909408,0.005294319969387947,word,fake_urgency,FN_vs_TP
hurry up,0.014635537706798901,0.010511106960297032,0.004124430746501869,word,fake_urgency,FN_vs_TP
descuento,0.012856905793301785,0.008932472410821268,0.0039244333824805175,word,fake_urgency,FN_vs_TP
de descuento,0.012856905793301785,0.008932472410821268,0.0039244333824805175,word,fake_urgency,FN_vs_TP
__num__ de descuento,0.012856905793301785,0.008932472410821268,0.0039244333824805175,word,fake_urgency,FN_vs_TP
reserved for,0.022914146261282853,0.02019109435754089,0.002723051903741964,word,fake_urgency,FN_vs_TP
__num__ de,0.012413619843960179,0.010582163923956715,0.0018314559200034632,word,fake_urgency,FN_vs_TP
up,0.013693813917519868,0.011967771264808335,0.001726042652711533,word,fake_urgency,FN_vs_TP
reserved,0.02251611730292591,0.021084145868591662,0.0014319714343342463,word,fake_urgency,FN_vs_TP
hurry,0.02060622669312704,0.020410755204876157,0.0001954714882508833,word,fake_urgency,FN_vs_TP
in __num__,0.011764235250378407,0.011718438876885869,4.579637349253797e-05,word,fake_urgency,FN_vs_TP
your,0.02822121387653128,0.02879784432246456,-0.0005766304459332815,word,fake_urgency,FN_vs_TP
time,0.013693813917519868,0.014779476922092666,-0.0010856630045727976,word,fake_urgency,FN_vs_TP
for,0.027944349035857446,0.029242551235005982,-0.0012982021991485362,word,fake_urgency,FN_vs_TP
extra __num__ off,0.0,0.0017841625052070458,-0.0017841625052070458,word,fake_urgency,FN_vs_TP
ays,0.04231323421176605,0.005639041243277444,0.0366741929684886,char,fake_urgency,FN_vs_TP
days,0.04231323421176605,0.005639041243277444,0.0366741929684886,char,fake_urgency,FN_vs_TP
s12,0.03340183613023252,0.0,0.03340183613023252,char,fake_urgency,FN_vs_TP
day,0.040229758920247355,0.0077566624541790825,0.032473096466068274,char,fake_urgency,FN_vs_TP
0da,0.031848460729623454,0.0005877308606019562,0.031260729869021495,char,fake_urgency,FN_vs_TP
00d,0.031848460729623454,0.0005877308606019562,0.031260729869021495,char,fake_urgency,FN_vs_TP
00da,0.031848460729623454,0.0005877308606019562,0.031260729869021495,char,fake_urgency,FN_vs_TP
00day,0.031848460729623454,0.0005877308606019562,0.031260729869021495,char,fake_urgency,FN_vs_TP
0day,0.031848460729623454,0.0005877308606019562,0.031260729869021495,char,fake_urgency,FN_vs_TP
0days,0.031848460729623454,0.0005877308606019562,0.031260729869021495,char,fake_urgency,FN_vs_TP
 00da,0.031848460729623454,0.0005877308606019562,0.031260729869021495,char,fake_urgency,FN_vs_TP
 00d,0.031848460729623454,0.0005877308606019562,0.031260729869021495,char,fake_urgency,FN_vs_TP
 pre,0.032311939743231835,0.0013946392500979658,0.03091730049313387,char,fake_urgency,FN_vs_TP
pre,0.032311939743231835,0.0013946392500979658,0.03091730049313387,char,fake_urgency,FN_vs_TP
rs1,0.03064275312712953,0.0012356390859654203,0.029407114041164112,char,fake_urgency,FN_vs_TP
te ,0.03273941214813425,0.004466300498182461,0.02827311164995179,char,fake_urgency,FN_vs_TP
 00,0.029799171272559453,0.0024821947278110485,0.027316976544748406,char,fake_urgency,FN_vs_TP
urs1,0.025893714608826442,0.0,0.025893714608826442,char,fake_urgency,FN_vs_TP
ours1,0.025893714608826442,0.0,0.025893714608826442,char,fake_urgency,FN_vs_TP
4min,0.02479020089149742,0.0,0.02479020089149742,char,fake_urgency,FN_vs_TP
4mi,0.02479020089149742,0.0,0.02479020089149742,char,fake_urgency,FN_vs_TP
ays1,0.024680353272062912,0.000909510897551607,0.023770842374511304,char,fake_urgency,FN_vs_TP
ys1,0.024680353272062912,0.000909510897551607,0.023770842374511304,char,fake_urgency,FN_vs_TP
days1,0.024680353272062912,0.000909510897551607,0.023770842374511304,char,fake_urgency,FN_vs_TP
ays0,0.02302645611168025,0.0016278337548423422,0.021398622356837906,char,fake_urgency,FN_vs_TP
ys0,0.02302645611168025,0.0016278337548423422,0.021398622356837906,char,fake_urgency,FN_vs_TP
days0,0.02302645611168025,0.0016278337548423422,0.021398622356837906,char,fake_urgency,FN_vs_TP
 pr,0.028632812427804927,0.007480127729649955,0.021152684698154973,char,fake_urgency,FN_vs_TP
7hou,0.020193915228538376,0.0,0.020193915228538376,char,fake_urgency,FN_vs_TP
7hour,0.020193915228538376,0.0,0.020193915228538376,char,fake_urgency,FN_vs_TP
7ho,0.020193915228538376,0.0,0.020193915228538376,char,fake_urgency,FN_vs_TP
prec,0.021514129442566136,0.0014515117035503856,0.02006261773901575,char,fake_urgency,FN_vs_TP
 prec,0.021514129442566136,0.0014515117035503856,0.02006261773901575,char,fake_urgency,FN_vs_TP
reci,0.021514129442566136,0.0014515117035503856,0.02006261773901575,char,fake_urgency,FN_vs_TP
cio ,0.021514129442566136,0.0014515117035503856,0.02006261773901575,char,fake_urgency,FN_vs_TP
recio,0.021514129442566136,0.0014515117035503856,0.02006261773901575,char,fake_urgency,FN_vs_TP
preci,0.021514129442566136,0.0014515117035503856,0.02006261773901575,char,fake_urgency,FN_vs_TP
ecio,0.021514129442566136,0.0014515117035503856,0.02006261773901575,char,fake_urgency,FN_vs_TP
ecio ,0.021514129442566136,0.0014515117035503856,0.02006261773901575,char,fake_urgency,FN_vs_TP
con,0.028815870249031355,0.00885549981222958,0.019960370436801773,char,fake_urgency,FN_vs_TP
 ba,0.019820359547235482,0.0,0.019820359547235482,char,fake_urgency,FN_vs_TP
mins1,0.019425722203074255,0.0,0.019425722203074255,char,fake_urgency,FN_vs_TP
ins1,0.019425722203074255,0.0,0.019425722203074255,char,fake_urgency,FN_vs_TP
ns1,0.019425722203074255,0.0,0.019425722203074255,char,fake_urgency,FN_vs_TP
rec,0.020671172873701515,0.0021291437924103106,0.018542029081291204,char,fake_urgency,FN_vs_TP
io ,0.020671172873701515,0.0022252814579132975,0.01844589141578822,char,fake_urgency,FN_vs_TP
s13,0.018947371731077065,0.000909510897551607,0.018037860833525456,char,fake_urgency,FN_vs_TP
nte ,0.018662304935796598,0.0006544750459164129,0.018007829889880186,char,fake_urgency,FN_vs_TP
tes21,0.01723159245401799,0.0,0.01723159245401799,char,fake_urgency,FN_vs_TP
utes2,0.01723159245401799,0.0,0.01723159245401799,char,fake_urgency,FN_vs_TP
__num__,0.14530394958906623,0.03287489655848099,0.11242905303058523,word,fake_urgency,FP_vs_TN
__timer__,0.05608878975858095,0.0006418729264266359,0.05544691683215431,word,fake_urgency,FP_vs_TN
solo,0.043271627065699,0.006073513148393275,0.03719811391730573,word,fake_urgency,FP_vs_TN
en __num__,0.03849519947289458,0.00289008421420336,0.03560511525869122,word,fake_urgency,FP_vs_TN
en __timer__,0.02910804634708326,0.0,0.02910804634708326,word,fake_urgency,FP_vs_TN
comprados,0.027844769695424747,0.0,0.027844769695424747,word,fake_urgency,FP_vs_TN
en __num__ minutos,0.02703141669812443,0.0,0.02703141669812443,word,fake_urgency,FP_vs_TN
alta,0.02650319009579706,0.002279875914373445,0.024223314181423615,word,fake_urgency,FP_vs_TN
colores,0.02393529182024618,0.0,0.02393529182024618,word,fake_urgency,FP_vs_TN
__num__ colores,0.02393529182024618,0.0,0.02393529182024618,word,fake_urgency,FP_vs_TN
hoy,0.03243996804958263,0.008669472667415688,0.02377049538216694,word,fake_urgency,FP_vs_TN
muy,0.02450727964841268,0.0007400179170029121,0.023767261731409767,word,fake_urgency,FP_vs_TN
descuento,0.024360142439603417,0.0008557462202576192,0.0235043962193458,word,fake_urgency,FP_vs_TN
solo __num__,0.022625940985705046,0.0,0.022625940985705046,word,fake_urgency,FP_vs_TN
los últimos __timer__,0.023276549854354095,0.0007112918634521814,0.022565257990901914,word,fake_urgency,FP_vs_TN
últimos __timer__,0.023276549854354095,0.0007112918634521814,0.022565257990901914,word,fake_urgency,FP_vs_TN
__social_count__ por,0.021984851714290175,0.0,0.021984851714290175,word,fake_urgency,FP_vs_TN
__num__ veces,0.025988419469531985,0.004177322798465268,0.021811096671066718,word,fake_urgency,FP_vs_TN
veces,0.025988419469531985,0.004177322798465268,0.021811096671066718,word,fake_urgency,FP_vs_TN
alta demanda,0.02348512997531267,0.0017164707837711711,0.0217686591915415,word,fake_urgency,FP_vs_TN
veces hoy,0.019972847395454414,0.0,0.019972847395454414,word,fake_urgency,FP_vs_TN
__num__ veces hoy,0.019972847395454414,0.0,0.019972847395454414,word,fake_urgency,FP_vs_TN
tu,0.02654438703130958,0.007415520380893221,0.019128866650416358,word,fake_urgency,FP_vs_TN
nuevo,0.01889211212033588,0.0,0.01889211212033588,word,fake_urgency,FP_vs_TN
año nuevo,0.01889211212033588,0.0,0.01889211212033588,word,fake_urgency,FP_vs_TN
ahora,0.0344589726832697,0.016079680620327372,0.01837929206294233,word,fake_urgency,FP_vs_TN
del,0.022525138494548576,0.004265687077507673,0.018259451417040905,word,fake_urgency,FP_vs_TN
tiempo,0.01899766098740041,0.0008099362649730204,0.01818772472242739,word,fake_urgency,FP_vs_TN
por,0.025488693427078428,0.007869763620933756,0.01761892980614467,word,fake_urgency,FP_vs_TN
sesión,0.017597791066061776,0.0,0.017597791066061776,word,fake_urgency,FP_vs_TN
año,0.017975174486743517,0.0011905561371271071,0.01678461834961641,word,fake_urgency,FP_vs_TN
los últimos,0.020581008554626752,0.0038552643901234914,0.01672574416450326,word,fake_urgency,FP_vs_TN
en los últimos,0.020581008554626752,0.0038552643901234914,0.01672574416450326,word,fake_urgency,FP_vs_TN
__num__ ya,0.0167054274785661,0.0,0.0167054274785661,word,fake_urgency,FP_vs_TN
gratis,0.018518518518518517,0.0018297910829844885,0.01668872743553403,word,fake_urgency,FP_vs_TN
ya,0.019442642655752865,0.002785515320334262,0.016657127335418603,word,fake_urgency,FP_vs_TN
puffy,0.017153962748929854,0.0013979054992304886,0.015756057249699366,word,fake_urgency,FP_vs_TN
en los,0.0201940610111222,0.0048947224021747,0.0152993386089475,word,fake_urgency,FP_vs_TN
último,0.018518518518518517,0.0035308233710566006,0.014987695147461916,word,fake_urgency,FP_vs_TN
popular,0.017822422424939484,0.0029725023031830773,0.014849920121756406,word,fake_urgency,FP_vs_TN
demanda,0.022588099990159854,0.007959055415664518,0.014629044574495336,word,fake_urgency,FP_vs_TN
semana,0.016534430089601856,0.002085051283378771,0.014449378806223085,word,fake_urgency,FP_vs_TN
pedido,0.0165635804468736,0.0023849694537045685,0.014178610993169031,word,fake_urgency,FP_vs_TN
tu pedido,0.0165635804468736,0.0023849694537045685,0.014178610993169031,word,fake_urgency,FP_vs_TN
últimos,0.01983810377677778,0.006415005498940621,0.01342309827783716,word,fake_urgency,FP_vs_TN
tendencia,0.013257810540711845,0.0,0.013257810540711845,word,fake_urgency,FP_vs_TN
oferta,0.016668448509630826,0.003711928182425031,0.012956520327205795,word,fake_urgency,FP_vs_TN
al,0.020698651726100328,0.00801923592125236,0.012679415804847967,word,fake_urgency,FP_vs_TN
descuentos,0.0130945700219731,0.001044111545772027,0.012050458476201073,word,fake_urgency,FP_vs_TN
exclusivos,0.0130945700219731,0.001116247048076128,0.011978322973896973,word,fake_urgency,FP_vs_TN
__num,0.043240103845699686,0.012923993455884328,0.030316110389815357,char,fake_urgency,FP_vs_TN
um_,0.043240103845699686,0.012923993455884328,0.030316110389815357,char,fake_urgency,FP_vs_TN
__nu,0.043240103845699686,0.012923993455884328,0.030316110389815357,char,fake_urgency,FP_vs_TN
_nu,0.043240103845699686,0.012923993455884328,0.030316110389815357,char,fake_urgency,FP_vs_TN
_num,0.043240103845699686,0.012923993455884328,0.030316110389815357,char,fake_urgency,FP_vs_TN
um__,0.043240103845699686,0.012923993455884328,0.030316110389815357,char,fake_urgency,FP_vs_TN
__n,0.043240103845699686,0.012923993455884328,0.030316110389815357,char,fake_urgency,FP_vs_TN
_num_,0.043240103845699686,0.012923993455884328,0.030316110389815357,char,fake_urgency,FP_vs_TN
m__,0.043240103845699686,0.012923993455884328,0.030316110389815357,char,fake_urgency,FP_vs_TN
num,0.043240103845699686,0.012923993455884328,0.030316110389815357,char,fake_urgency,FP_vs_TN
num_,0.043240103845699686,0.012923993455884328,0.030316110389815357,char,fake_urgency,FP_vs_TN
num__,0.043240103845699686,0.012923993455884328,0.030316110389815357,char,fake_urgency,FP_vs_TN
um__ ,0.04160293443636471,0.011447063397556547,0.030155871038808162,char,fake_urgency,FP_vs_TN
m__ ,0.04160293443636471,0.011447063397556547,0.030155871038808162,char,fake_urgency,FP_vs_TN
 __n,0.04170934729559487,0.012719108213304303,0.028990239082290564,char,fake_urgency,FP_vs_TN
 __nu,0.04170934729559487,0.012719108213304303,0.028990239082290564,char,fake_urgency,FP_vs_TN
_time,0.02378333635774645,0.00030633015875717446,0.023477006198989275,char,fake_urgency,FP_vs_TN
__tim,0.02378333635774645,0.00030633015875717446,0.023477006198989275,char,fake_urgency,FP_vs_TN
imer,0.02378333635774645,0.00030633015875717446,0.023477006198989275,char,fake_urgency,FP_vs_TN
mer__,0.02378333635774645,0.00030633015875717446,0.023477006198989275,char,fake_urgency,FP_vs_TN
mer_,0.02378333635774645,0.00030633015875717446,0.023477006198989275,char,fake_urgency,FP_vs_TN
__t,0.02378333635774645,0.00030633015875717446,0.023477006198989275,char,fake_urgency,FP_vs_TN
__ti,0.02378333635774645,0.00030633015875717446,0.023477006198989275,char,fake_urgency,FP_vs_TN
r__,0.02378333635774645,0.00030633015875717446,0.023477006198989275,char,fake_urgency,FP_vs_TN
er_,0.02378333635774645,0.00030633015875717446,0.023477006198989275,char,fake_urgency,FP_vs_TN
er__,0.02378333635774645,0.00030633015875717446,0.023477006198989275,char,fake_urgency,FP_vs_TN
imer_,0.02378333635774645,0.00030633015875717446,0.023477006198989275,char,fake_urgency,FP_vs_TN
_tim,0.02378333635774645,0.00030633015875717446,0.023477006198989275,char,fake_urgency,FP_vs_TN
_ti,0.02378333635774645,0.00030633015875717446,0.023477006198989275,char,fake_urgency,FP_vs_TN
time,0.02378333635774645,0.00030633015875717446,0.023477006198989275,char,fake_urgency,FP_vs_TN
timer,0.02378333635774645,0.00030633015875717446,0.023477006198989275,char,fake_urgency,FP_vs_TN
 __t,0.02378333635774645,0.00030633015875717446,0.023477006198989275,char,fake_urgency,FP_vs_TN
 __ti,0.02378333635774645,0.00030633015875717446,0.023477006198989275,char,fake_urgency,FP_vs_TN
ime,0.02338823037839301,0.0005711911430417332,0.022817039235351277,char,fake_urgency,FP_vs_TN
tim,0.028394120969642174,0.0064262714285659465,0.021967849541076227,char,fake_urgency,FP_vs_TN
mer,0.022676308973393507,0.001127716000493698,0.021548592972899808,char,fake_urgency,FP_vs_TN
r__ ,0.01714467296969761,0.0,0.01714467296969761,char,fake_urgency,FP_vs_TN
er__ ,0.01714467296969761,0.0,0.01714467296969761,char,fake_urgency,FP_vs_TN
 ex,0.016049508375110315,0.0009484206245492274,0.015101087750561088,char,fake_urgency,FP_vs_TN
 __,0.04235937344226865,0.02794196304240882,0.014417410399859831,char,fake_urgency,FP_vs_TN
olo,0.016980732081479075,0.003305736796521786,0.01367499528495729,char,fake_urgency,FP_vs_TN
desc,0.014091656169910191,0.0013851156052323396,0.012706540564677852,char,fake_urgency,FP_vs_TN
 desc,0.014091656169910191,0.0013851156052323396,0.012706540564677852,char,fake_urgency,FP_vs_TN
ece,0.014974044338919303,0.0023424267224813914,0.012631617616437912,char,fake_urgency,FP_vs_TN
 des,0.014798854857439899,0.002512698486823436,0.012286156370616462,char,fake_urgency,FP_vs_TN
des,0.015522262111479921,0.0033439613568145496,0.012178300754665371,char,fake_urgency,FP_vs_TN
uent,0.012551709801721581,0.0007995673481321717,0.01175214245358941,char,fake_urgency,FP_vs_TN
cuent,0.012551709801721581,0.0007995673481321717,0.01175214245358941,char,fake_urgency,FP_vs_TN
cuen,0.012551709801721581,0.0007995673481321717,0.01175214245358941,char,fake_urgency,FP_vs_TN
cue,0.012551709801721581,0.0007995673481321717,0.01175214245358941,char,fake_urgency,FP_vs_TN
demanda,0.10574355567116826,0.0,0.10574355567116826,word,fake_scarcity,FN_vs_TP
alta,0.0674789879896606,0.0,0.0674789879896606,word,fake_scarcity,FN_vs_TP
alta demanda,0.06186302647857128,0.0,0.06186302647857128,word,fake_scarcity,FN_vs_TP
carrito,0.061980112591207566,0.00967635962907665,0.05230375296213091,word,fake_scarcity,FN_vs_TP
__people__,0.04658353439861223,0.0,0.04658353439861223,word,fake_scarcity,FN_vs_TP
tu,0.04913933426430243,0.005316460216495264,0.043822874047807166,word,fake_scarcity,FN_vs_TP
producto,0.03987999217803873,0.0,0.03987999217803873,word,fake_scarcity,FN_vs_TP
__scarcity__ precio,0.03657838664968145,0.0,0.03657838664968145,word,fake_scarcity,FN_vs_TP
hoy,0.034491507444881886,0.0,0.034491507444881886,word,fake_scarcity,FN_vs_TP
en,0.08290939455188936,0.04939079645515359,0.033518598096735776,word,fake_scarcity,FN_vs_TP
esto,0.033391173735899796,0.0,0.033391173735899796,word,fake_scarcity,FN_vs_TP
tienen,0.03273850504066818,0.0,0.03273850504066818,word,fake_scarcity,FN_vs_TP
__num__,0.06273105200443187,0.03044479229566236,0.032286259708769506,word,fake_scarcity,FN_vs_TP
de,0.04812689291839268,0.01861545243122547,0.02951144048716721,word,fake_scarcity,FN_vs_TP
artículo,0.03753808161230212,0.009114149095590865,0.028423932516711256,word,fake_scarcity,FN_vs_TP
mucha,0.027869988404754794,0.0,0.027869988404754794,word,fake_scarcity,FN_vs_TP
mucha demanda,0.027869988404754794,0.0,0.027869988404754794,word,fake_scarcity,FN_vs_TP
ahora,0.02673139195689455,0.0,0.02673139195689455,word,fake_scarcity,FN_vs_TP
su,0.026637709023684248,0.0,0.026637709023684248,word,fake_scarcity,FN_vs_TP
su carrito,0.026637709023684248,0.0,0.026637709023684248,word,fake_scarcity,FN_vs_TP
tu pedido,0.02607997094965501,0.0,0.02607997094965501,word,fake_scarcity,FN_vs_TP
pedido,0.02607997094965501,0.0,0.02607997094965501,word,fake_scarcity,FN_vs_TP
por,0.02551179236107624,0.0,0.02551179236107624,word,fake_scarcity,FN_vs_TP
artículos en,0.031668176773362346,0.006205678972223971,0.025462497801138375,word,fake_scarcity,FN_vs_TP
que,0.03467141578717072,0.009485502700738807,0.025185913086431914,word,fake_scarcity,FN_vs_TP
un,0.02474680440533949,0.0,0.02474680440533949,word,fake_scarcity,FN_vs_TP
la,0.02948580068828951,0.005737249387038151,0.02374855130125136,word,fake_scarcity,FN_vs_TP
